Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów
BRA,96-320,Mszczonów,Tarczyńska,20,L-1100P,1,150101,3 środa
BHC,05-090,Sękocin Stary,ul. Mszczonowska,10,L-120K,1,200301,1 i 3 wtorek
BWA,02-676,Warszawa,Suwak,12,L-1100P,1,150101,poniedziałek środa
BWC,02-273 ,Warszawa,Muszkieterów,15,L-1100P,1,150101,co tydzień czwartek
BWB,00-722,Warszawa,Podchorążych,28,L-120S,1,150107,co tydzień środa
BRC,05-825,Grodzisk Mazowiecki,Orzeszkowej,17,L-240K,1,200301,1 i 3 czwartek
BWA,05-500,Piaseczno,Al.Jana Pawła II,20,UP-5.K,1,200301,co tydzień poniedziałek
BRB,96-316,Henryszew,ul. Reymonta,10,L-1100P,1,150101,2 piątek
BWC,02-784,Warszawa,Dembowskiego,17,L-120K,1,200301,4 czwartek
BRC,05-825,Grodzisk Mazowiecki,E. Orzeszkowej,17,L-240K,1,200301,co tydzień czwartek
BRB,96-300,Żyrardów,Dittricha,23,L-1100P,1,150101,4 piątek
BWB,01-703,Warszawa,Gąbińska,34,L-1100P,1,150101,co tydzień poniedziałek
BWC,05-520,Bielawa,Lipowa,24,L-120P,1,150101,3 piątek
BWC,02-785,Warszawa,Puszczyka,29,L-700K,1,200301,1 i 3 poniedziałek
BHC,05-090,Wypędy,Zdrojowa,19,L-1100K,1,200301,2 i 4 wtorek
BWC,05-532,Baniocha,Solec,6,L-1100K,1,200301,co tydzień poniedziałek
BWB,05-500 ,Piaseczno,Kwiatów Polskich,18,L-240P,1,150101,4 piątek
BRC,05-825,Kłudzienko,Kłudzienko,15,L-1100K,1,200301,1 i 3 czwartek
BHB,05-555,Tarczyn,Pogodna,21,L-120B,1,200108,1 i 3 poniedziałek
BRA,05-500,Stara Iwiczna,Nowa,30,UP-7T,1,150106,poniedziałek środa
BHC,05-830,Nadarzyn,Turystyczna,12,L-120K,1,200301,2 i 4 piątek
BRC,96-300,Żyrardów,Sikorskiego,13,L-1100P,1,150101,2 i 4 piątek
BWC,05-552,Kolonia Warszawska,Aleja Krakowska,33,L-1100K,1,200301,2 i 4 poniedziałek
BWB,00-054,Warszawa,Jasna,17,L-240T,1,200139,wtorek piątek
BHC,05-816,Michałowice,al. Jerozolimskie,17,L-1100T,1,150102,2 i 4 piątek
BWC,05-503,Mieszkowo,Malinowa,8,L-1100K,1,200301,2 środa
BRC,05-825,Grodzisk Mazowiecki,Mokronowskich,14,L-1100P,1,200101,co tydzień piątek
BWA,02-738,Warszawa,Dominikańska,28,L-1100T,1,150106,co tydzień piątek
BHC,05-090,Sękocin Nowy,Leszczynowa,18,L-240K,1,200301,co tydzień wtorek
BWC,02-785,Warszawa,Wiolinowa,25,L-1100K,1,200301,co tydzień czwartek
BHC,96-321,Żelechów,Juliusza Kossaka,31,L-240P,1,150101,3 środa
BWB,02-685,Warszawa,Rodziny Hiszpańskich,13,L-120B,1,200108,co tydzień poniedziałek
BWC,05-506,Lesznowola,Salamandry,10,L-120P,1,150101,4 piątek
BRB,02-507,Warszawa,Obywatelska,17,L-240T,1,150102,co tydzień poniedziałek
BHC,05-850,Ożarów Mazowiecki,Romana Dmowskiego,33,L-120S,1,150107,3 piątek
BHC,96-300,Żyrardów,Piotra Wysockiego,7,L-120K,1,200301,2 i 4 poniedziałek
BWB,01-891,Warszawa,Staffa,7,L-240B,1,200201,co tydzień środa
BRC,96-313,Chylice,Wojtkiewicza,33,L-120T,1,150106,2 czwartek
BRB,96-325,Tartak Brzózki,Letniskowa,25,L-1100T,1,150102,co tydzień poniedziałek
BHC,05-850,Jawczyce,Wspólna Droga,11,L-240T,1,150102,co tydzień poniedziałek
BWC,05-500 ,Piaseczno,Powstańców Warszawy,13,L-240T,1,150102,2 środa
BRC,96-316,Stare Budy,ul. Wąska,28,L-240K,1,200301,4 piątek
BRB,05-825,Grodzisk Mazowiecki,Kopernika,31,L-240P,1,150101,co tydzień piątek
BRB,96-300,Żyrardów,Bohaterów Warszawy,28,L-660K,1,200301,2 i 4 poniedziałek
BHC,05-840,Brwinów,Kępińska,32,L-1100K,1,200301,1 i 3 czwartek
BRB,96-321,Nowa Bukówka,Rumiankowa,11,L-1100K,1,200301,2 i 4 piątek
BWB,02-786,Warszawa,W.B.Jastrzębowskiego,12,L-1100S,1,150107,2 i 4 czwartek
BWC,05-540,Zalesie Górne,Środkowa,18,L-120P,1,150101,3 piątek
BRC,96-300,Żyrardów,Ludwika Waryńskiego,22,L-1100K,1,200301,4 poniedziałek
BRB,,Wymysłów,Katowicka,29,L-1100T,1,150106,2 i 4 poniedziałek
BWB,02-495,Warszawa,Ryżowa,22,UP-5.T,1,150106,2 i 4 poniedziałek
BWC,05-504,Henryków-Urocze,Urocza,33,L-120P,1,150101,4 środa
BWA,00-252,Warszawa,Podwale,14,L-120T,1,200139,2 wtorek
PH,05-830,Strzeniówka,Kwiatu Paproci,20,L-120K,1,200301,2 i 4 piątek
BWB,05-500,Józefosław,Wilanowska,8,L-1100T,1,150102,co tydzień środa
BHC,05-850,Ożarów Mazowiecki,Konotopska,10,L-1100K,1,200301,3 wtorek
BRC,05-825,Książenice,Al. Brzozowa,28,L-240K,1,200301,1 i 3 piątek
BWA,02-285 ,Warszawa,Szyszkowa,30,L-1100P,1,150101,poniedziałek czwartek
PH,05-807,Podkowa Leśna,Akacjowa,25,L-240T,1,150102,2 i 4 poniedziałek
BRC,96-320 ,Mszczonów,Księcia Ziemowita,27,L-1100K,1,200301,2 i 4 środa
PR,05-807,Podkowa Leśna,Brwinowska,29,L-1100K,1,200301,3 czwartek
PW,05-090,Raszyn,Poniatowskiego,16,L-120S,1,150107,1 piątek
BHA,05-840,Brwinów,"Moszna, Parcela",26,L-240S,1,150107,co tydzień piątek
BHC,05-830,Nadarzyn,Jaworowa,10,L-120K,1,200301,2 i 4 piątek
BWB,02-226,Warszawa,Pryzmaty,19,L-1100P,1,150101,co tydzień czwartek
BRC,05-822,Milanówek,Książenicka,23,L-240K,1,200301,1 i 3 środa
BHC,05-805,Otrębusy,Krzywa,12,L-120P,1,150101,1 wtorek
BRC,05-825,Grodzisk Mazowiecki,Plac Króla Zygmunta Starego,7,L-240K,1,200301,2 i 4 czwartek
BHA,05-800,Pruszków,Promyka,27,L-120P,1,200101,1 i 3 wtorek
BHC,05-090,Janki,Godebskiego,10,L-1100K,1,200301,2 i 4 wtorek
BWC,05-500 ,Piaseczno,Raszyńska,18,L-120K,1,200301,2 i 4 poniedziałek
BWC,,Konotopa,Fiołkowa,23,L-120T,1,150106,2 i 4 poniedziałek
BHA,05-831,Młochów,Al.Kasztanowa,5,UP-7T,1,150106,co tydzień poniedziałek
BWB,05-552,Łazy,Wąska,10,L-120P,1,150101,1 i 3 środa
BRC,05-825,Chrzanów Duży,Chrzanów Duży,5,L-120K,1,200301,2 i 4 czwartek
BRC,05-825,Grodzisk Mazowiecki,Żwirki i Wigury,26,L-1100P,1,150101,4 piątek
BWC,05-028,Blizne Łaszczyńskiego,Serwisowa,14,L-1100T,1,150102,co tydzień poniedziałek
BHC,05-806 ,Komorów,Marii Dabrowskiej,25,L-1100P,1,150101,co tydzień wtorek
BRC,05-825,Grodzisk Mazowiecki,11-Go Listopada,30,L-1100K,1,200301,2 i 4 czwartek
BHA,05-800,Pruszków,Parzniewska,12,L-120B,1,200201,2 i 4 czwartek
BRC,96-300,Żyrardów,Al.Partyzantów,15,L-120P,1,150101,1 wtorek
BHC,05-825 ,Milanówek,Dworcowa,28,L-240K,1,200301,1 i 3 czwartek
BWB,00-465,Warszawa,29 Listopada,6,L-240S,1,150107,2 i 4 środa
BWC,00-717,Warszawa,Czerniakowska,28,L-120K,1,200301,2 i 4 czwartek
BWC,05-552,Łazy,Kwiatowa,9,L-240T,1,150102,1 i 3 środa
BWC,05-090,Sokołów,Wacława,34,L-1100K,1,200301,2 i 4 piątek
BRC,05-825,Grodzisk Mazowiecki,Montwiłła,6,L-240K,1,200301,2 czwartek
BWB,05-500,Nowa Wola,Ignacego Krasickiego,31,L-1100P,1,150101,co tydzień piątek
BRC,05-505,Błonie,Powstańców,30,L-240K,1,200301,1 i 3 środa
BRB,96-300,Żyrardów,Czysta,5,L-1100P,1,150101,co tydzień piątek
BWC,05-500 ,Piaseczno,Przesmyckiego,20,L-120P,1,150101,4 piątek
BRC,96-300,Żyrardów,Janiny Jadwigi Kacperskiej,16,L-1100K,1,200301,3 poniedziałek
PR,05-825 ,Milanówek,Literacka,20,L-120P,1,150101,4 wtorek
BWC,05-090,Raszyn,Cienista,13,L-240K,1,200301,1 i 3 wtorek
BWC,05-816,Reguły,Aleje Jerozolimskie,11,L-120S,1,200102,4 piątek
BWC,05-500,Żabieniec,Asfaltowa,21,L-120T,1,150102,4 środa
BWA,01-747,Warszawa,Powązkowska,17,L-1100K,1,200301,poniedziałek czwartek sobota
BRC,05-825,Grodzisk Mazowiecki,Marii Konopnickiej,7,L-240K,1,200301,4 czwartek
BRC,96-321,Wycinki Osowskie,Międzynarodowa,7,L-120P,1,150101,3 środa
BHC,05-555,Komorniki,Leśna,21,L-240P,1,150101,4 środa
BRA,05-820,Piastów,Regulska,32,UP-7K,1,200301,co tydzień czwartek
BHC,05-830,Kostowiec,Przemysłowa,7,L-120K,1,200301,co tydzień piątek
BWC,05-500,Łoziska,Fabryczna,19,L-120S,1,150107,1 i 3 czwartek
BHA,05-082,Stare Babice,Kutrzeby,6,L-240K,1,200301,2 i 4 wtorek
BWC,02-674 ,Warszawa,Marynarska,30,L-1100T,1,150106,4 wtorek
BHB,05-807,Podkowa Leśna,Gołębia,9,L-1100K,1,200301,co tydzień czwartek
BWA,05-504,Złotokłos,Andrzeja Boboli,27,L-1100S,1,150107,co tydzień czwartek
BWC,05-552,Łazy,Ks. Kanonika H. Słojewskiego,24,L-1100K,1,200301,co tydzień środa
BWB,05-552,Stefanowo,Ułanów,21,L-1100S,1,150107,1 i 3 piątek
BRC,96-321,Grzymek,Spacerowa,26,L-240T,1,150106,1 i 3 poniedziałek
BWC,05-500,Jazgarzew,Górna,29,L-240T,1,150106,2 i 4 środa
BWC,05-090,Falenty Duże,Falencka,27,L-120B,1,200108,co tydzień wtorek
BRC,05-825,Grodzisk Mazowiecki,Szczęsna,24,L-1100P,1,150101,1 i 3 piątek
BWC,05-552,Łazy,Wiejska,11,L-1100P,1,150101,1 i 3 środa
BRB,96-300,Żyrardów,Sienkiewicz,10,L-120P,1,150101,4 piątek
BHC,05-850,Konotopa,Piwna,9,L-1100K,1,200301,co tydzień wtorek
BHC,05-830,Nadarzyn,Kalinowa,19,L-120K,1,200301,1 i 3 piątek
BWA,00-710,Warszawa,Idzikowskiego,17,L-240B,1,200108,co tydzień środa
BWC,05-540,Zalesie Górne,Białej Brzozy,26,L-120S,1,150107,3 czwartek
BRC,96-300,Żyrardów,Ossowskiego,34,L-120K,1,200301,2 i 4 piątek
BWB,00-204,Warszawa,Słomińskiego,22,L-240S,1,150107,4 środa
BHB,05-807,Kanie,Piłsudskiego,26,L-120P,1,150101,1 i 3 wtorek
BRC,96-315,Wiskitki,Oryszew Osada,10,L-1100P,1,150101,2 i 4 wtorek
BRB,96-321,Nowa Bukówka,Skulska,11,"UP-2,5P",1,150101,1 i 3 środa
BWC,05-500,Józefosław,Działkowa,5,L-120S,1,150107,2 i 4 czwartek
BWC,05-500 ,Piaseczno,Elektroniczna,24,L-1100K,1,200301,co tydzień poniedziałek
BWC,05-552,Łazy,Muzyczna,12,L-120B,1,200108,2 i 4 środa
BHA,05-825,Marynin,Partyzantów AK,24,L-1100K,1,200301,co tydzień piątek
BHB,05-830,Stara Wieś,Tarniny,15,L-1100T,1,150106,co tydzień wtorek
BRC,05-825,Grodzisk Mazowiecki,Stefana Batorego,21,L-1100T,1,150106,2 i 4 poniedziałek
BHC,96-313,Kady,Dragońska,12,L-120K,1,200301,2 i 4 czwartek
BHC,96-321,Żabia Wola,Ślaskiego,16,L-240K,1,200301,2 i 4 piątek
BHB,05-831,Młochów,Ks. Bronisława Markiewicza,17,L-120T,1,150102,1 i 3 poniedziałek
BHC,05-830,Nadarzyn,Sitarskich,9,L-120K,1,200301,3 piątek
BHB,05-840,Brwinów,Józefa Ignacego Kraszewskiego,20,L-1100K,1,200301,co tydzień czwartek
BHC,05-850,Koprki,Jaśminowa,11,L-1100P,1,150101,co tydzień wtorek
BRC,96-315,Wiskitki,Zagródź,19,L-120T,1,150106,2 piątek
BRA,05-825,Grodzisk Mazowiecki,Zachodnia,8,L-1100K,1,200301,co tydzień czwartek
BHC,05-830,Urzut,Ekologiczna,29,L-1100K,1,200301,2 i 4 piątek
BRC,05-825,Kałęczyn,Okopowa,32,L-1100K,1,200301,co tydzień czwartek
BWC,05-504,Runów,Solidarności,23,L-1100K,1,200301,co tydzień środa
PW,04-141,Warszawa,Szaserów,24,L-120B,1,200201,2 wtorek
BRC,05-825,Grodzisk Mazowiecki,Radońska,21,L-120K,1,200301,1 i 3 czwartek
BWB,00-739,Warszawa,Stępińska,29,L-120S,1,150107,co tydzień środa
BRC,05-825,Grodzisk Mazowiecki,11 Listopada,12,L-120P,1,150101,1 piątek
BHC,,Tarczyn,Oszkiela,30,L-1100S,1,200102,2 i 4 czwartek
BRC,05-825,Grodzisk Mazowiecki,R. Traugutta,5,L-240T,1,150106,4 czwartek
BWB,02-147,Warszawa,Paluch,26,L-1100P,1,150101,2 i 4 czwartek
BWA,00-043,Warszawa,Czackiego,9,L-1100T,1,200139,1 wtorek
BRC,96-321,Osowiec,Przyjaciół,11,L-120S,1,150107,1 i 3 poniedziałek
BWC,,Zalesie Górne,Gościniec Warecki,8,L-240T,1,150102,1 środa
BWC,05-500 ,Piaseczno,ul. Szkolna,9,L-120P,1,150101,4 piątek
BHC,05-555,Suchodół,ul. Słoneczna,22,L-240K,1,200301,1 i 3 środa
BRC,05-825,Grodzisk Mazowiecki,Chłopickiego,12,L-120K,1,200301,2 i 4 czwartek
BWC,05-552,Łazy,Przyszłości,10,L-1100P,1,150101,co tydzień środa
BWC,,Raszyn,Projektowana,27,L-120K,1,200301,co tydzień wtorek
BRC,96-300,Żyrardów,Marii Nietrzebki,26,L-240K,1,200301,2 i 4 poniedziałek
BWC,05-820,Piastów,Sułkowskiego,27,L-240P,1,150101,1 i 3 wtorek
BWB,01-702,Warszawa,Ogólna,9,L-1100P,1,150101,co tydzień poniedziałek
BRC,05-822,Milanówek,Przeskok,7,L-1100K,1,200301,1 i 3 czwartek
BRB,05-825,Grodzisk Mazowiecki,Cieszyńska,30,UP-7P,1,150101,1 i 3 piątek
BWC,05-500 ,Piaseczno,Stołeczna,28,L-1100K,1,200301,co tydzień poniedziałek
BWA,01-377,Warszawa,Połczyńska,11,L-1100K,1,200301,poniedziałek czwartek
BHB,05-807,Owczarnia,Cyprysowa,15,L-240K,1,200301,1 i 3 czwartek
BHC,05-090,Sękocin Las,Wierzbowa,6,L-240T,1,150106,3 środa
BHA,96-300,Żyrardów,Reymonta,14,L-1100K,1,200301,poniedziałek piątek
BWC,05-500,Jesówka,Dzikich Gęsi,17,L-240K,1,200301,2 i 4 poniedziałek
BWC,05-503,Głosków,Korczunkowa,25,L-1100K,1,200301,poniedziałek środa
BHC,05-831,Rozalin,Przyjazna,18,L-120K,1,200301,2 i 4 piątek
PW,04-141,Warszawa,Garwolińska,12,L-1100S,1,150107,2 środa
BWC,02-386,Warszawa,Usypiskowa,10,L-1100T,1,150102,2 i 4 piątek
BWC,05-500 ,Piaseczno,Chyliczkowska,30,L-120T,1,150102,3 środa
BWC,05-500 ,Piaseczno,Dunikowskiego,13,L-120S,1,150107,4 czwartek
BRC,05-825,Chrzanów Mały,Chrzanów Mały,29,L-240K,1,200301,2 i 4 czwartek
BWC,05-503,Robercin,Podskarbińska,10,L-120T,1,150102,1 i 3 środa
BWC,05-090,Falenty,Aleja Hrabska,5,L-1100P,1,150101,2 czwartek
BWC,02-238,Warszawa,Modularna,11,L-1100K,1,200301,co tydzień wtorek
BRC,05-822,Milanówek,Zbigniewa Herberta,22,L-240P,1,150101,2 i 4 wtorek
BRC,05-825,Grodzisk Mazowiecki,Żydowska,12,L-120K,1,200301,1 i 3 czwartek
BHC,05-090,Raszyn,Krucza,26,L-1100T,1,150106,1 i 3 środa
BRC,96-300,Żyrardów,Gdańska,17,L-1100T,1,150106,4 poniedziałek
BHC,05-807,Podkowa Leśna,Sosnowa,18,L-1100P,1,150101,4 wtorek
BRB,05-825,Odrano-Wola,Grota Roweckiego,6,L-240T,1,150102,co tydzień czwartek
BWC,05-502,Wólka Kozodawska,Szczęśliwa,27,L-120K,1,200301,3 poniedziałek
BWC,05-506,Lesznowola,Żubra,17,L-240K,1,200301,1 i 3 środa
BWC,05-503, Wola Gołkowska,Gościniec,12,L-1100T,1,150102,1 i 3 środa
BRC,96-321,Bieniewiec,Zagrodowa,30,L-120T,1,150106,1 i 3 poniedziałek
BWC,05-506,Lesznowola,Gminna,10,L-240K,1,200301,1 i 3 środa
BHC,05-805,Otrębusy,Piaseckiego,12,L-240B,1,200108,2 i 4 czwartek
BWB,02-863,Warszawa,Jeziorki,14,L-1100K,1,200301,co tydzień poniedziałek
BRB,05-825,Grodzisk Mazowiecki,J. Słowackiego,29,UP-7K,1,200301,poniedziałek środa
BHA,05-082,Stare Babice,Józefa Piłsudskiego,11,L-240K,1,200301,2 i 4 wtorek
BHC,05-830,Nadarzyn,Kubusia Puchatka,28,L-240K,1,200301,1 i 3 piątek
BWC,02-495,Warszawa,Żołnierzy 2 Armii Wojska Polskiego,20,L-240P,1,150101,2 i 4 poniedziałek
BRC,96-313,Budy Zosine,Kaska,13,L-120P,1,150101,2 piątek
BRC,05-505,Błonie,Kolejowa,7,L-1100P,1,150101,3 wtorek
BWC,05-504,Henryków-Urocze,Społeczna,12,L-240K,1,200301,1 i 3 środa
BWC,05-090,Podolszyn Nowy,Wygody,29,L-240K,1,200301,4 wtorek
BRC,96-313,Jaktorów,Błotna,6,L-1100K,1,200301,2 i 4 piątek
BRC,05-825,Grodzisk Mazowiecki,Dębowa,10,L-240K,1,200301,1 i 3 czwartek
BHC,05-850,Duchnice,Duchnicka,17,L-1100T,1,150106,4 poniedziałek
BRC,96-317,Guzów,Michała Ogińskiego,32,L-1100K,1,200301,2 piątek
BWB,05-500 ,Piaseczno,Techniczna,19,L-240T,1,150104,co tydzień środa
BRC,96-300,Żyrardów,Łukasińskiego,9,L-120P,1,150101,3 piątek
BRC,96-325,Krze Duże,Krze Duże,22,UP-5.K,1,200301, - - - - - - -
BHC,96-321,Żabia Wola,Zielonej Żabki,33,L-1100T,1,150102,2 i 4 poniedziałek
BHC,05-850,Macierzysz,Sławęcińska,34,L-240K,1,200301,2 i 4 wtorek
PR,96-300,Żyrardów,Chopina,17,L-1100K,1,200301,co tydzień poniedziałek
BRC,96-313,Jaktorów Kolonia,Dobra,33,L-1100K,1,200301,1 i 3 piątek
BWB,02-336,Warszawa,Włochowska,27,L-1100K,1,200301,co tydzień piątek
BHA,05-090,Sękocin Nowy,Handlowa,7,L-240K,1,200301,1 i 3 wtorek
BRB,96-300,Żyrardów,Dekerta,30,L-1100P,1,150101,2 i 4 piątek
BWC,05-090,Falenty Nowe,Rozbrat,25,L-120K,1,200301,2 i 4 wtorek
BHC,05-850,Ożarów Mazowiecki,Kręta,13,L-240P,1,150101,4 wtorek
BWC,05-090,Falenty Nowe,Droga Hrabska,30,L-120K,1,200301, - - - - - - - co 0
BHB,05-850,Ożarów Mazowiecki,Gen. Henryka Dąbrowskiego,31,L-1100K,1,200301,co tydzień wtorek
BHC,05-090,Janki,Sezamkowa,13,L-240P,1,150101,1 i 3 czwartek
BHC,05-800,Pruszków,Magazynowa,25,L-1100K,1,200301,co tydzień wtorek
BHB,05-830,Stara Wieś,Głogowa,33,L-120K,1,200301,2 środa
BRA,96-320 ,Mszczonów,Ługowa,28,UP-7K,1,200301,co tydzień środa
BRC,05-825,Czarny Las,Cisowa,15,L-120K,1,200301,1 i 3 czwartek
BWC,05-090,Falenty Nowe,Magiczna,21,L-120S,1,150107,2 piątek
BWC,05-506,Magdalenka,Modrzewiowa,29,L-120K,1,200301,co tydzień środa
BWC,05-500 ,Piaseczno,Opalowa,14,L-120P,1,150101,2 i 4 piątek
BWC,05-500 ,Piaseczno,Wschodnia,33,L-120K,1,200301,3 poniedziałek
BHA,05-090,Raszyn-Rybie,NA SKRAJU,29,L-1100K,1,200301,4 wtorek co 4 tygodnie
BWC,05-090,Falenty Nowe,Willowa,8,L-240K,1,200301,2 i 4 wtorek
BWB,05-825,Kozery,gen. Gustawa Orlicz-Dreszera,34,L-240K,1,200301,2 i 4 czwartek
BHB,05-830,Nadarzyn,Księżycowa,8,L-1100T,1,150102,2 piątek
BRC,05-825,Grodzisk Mazowiecki,Lutniana,11,L-240K,1,200301,1 i 3 czwartek
BHC,05-831,Rozalin,Daniewice,10,L-120K,1,200301,2 i 4 piątek
BRC,05-825,Grodzisk Mazowiecki,Piaskowa,27,L-240K,1,200301,4 czwartek
BRA,96-315,Cyganka,Francuska,17,UP-7K,1,200301,co tydzień środa
BRB,96-313,Jaktorów,Generała Skokowskiego,27,L-1100K,1,200301,co tydzień piątek
BHA,05-850,Konotopa,Rajdowa,29,UP-7K,1,200301,co tydzień wtorek
BHA,05-090,Janki,Majowa,28,L-1100K,1,200301,co tydzień wtorek
BWC,02-781,Warszawa,Roentgena,9,L-120T,1,150102,2 piątek
BHC,05-805,Kanie,Zawilcowa,25,L-240K,1,200301,1 i 3 czwartek
BHA,05-800,Pruszków,Niska,13,L-1100K,1,200301,Czwartek co 4 tygodnie II
BHC,05-830,Strzeniówka,Dzikiej Róży,6,L-240K,1,200301,2 i 4 środa
BWC,05-500,Nowa Iwiczna,Kielecka,25,L-1100K,1,200301,co tydzień środa
BWC,02-784,Warszawa,Herbsta,31,L-240S,1,150107,1 i 3 piątek
BWC,05-500 ,Piaseczno,Zgoda,29,L-240K,1,200301,co tydzień poniedziałek
BWB,05-500 ,Piaseczno,Sierakowskiego,28,L-1100S,1,150107,2 i 4 czwartek
BRC,05-825,Grodzisk Mazowiecki,Kłudno Stare,19,L-1100K,1,200301,2 i 4 wtorek
BHA,05-806,Pęcice,Piachy,28,UP-5.K,1,200301,co tydzień czwartek
BWA,03-242,Warszawa,Kondratowicza,24,L-1100K,1,200301,co tydzień poniedziałek
BWB,05-500 ,Piaseczno,Plac Piłsudskiego,22,L-1100K,1,200301,co tydzień poniedziałek
BHC,05-830,Stara Wieś,Miłosna,22,L-240K,1,200301,2 i 4 piątek
BRA,05-816,Opacz Kolonia,Spisaka,33,L-1100K,1,200301,co tydzień piątek
BRC,05-825,Kałęczyn,Przesmyk,29,L-120K,1,200301,1 i 3 czwartek
BHC,05-830,Wolica,Przyleśna,24,L-1100K,1,200301,1 i 3 piątek
BHC,05-831,Krakowiany,Młynowa,25,L-240T,1,150102,1 poniedziałek
BHB,05-800,Pruszków,Ołówkowa,29,L-120S,1,150107,2 i 4 piątek
BHC,05-830,Wolica,Przerąbkowska,24,L-1100K,1,200301,1 i 3 środa
BWC,05-800,Pruszków,al. Wojska Polskiego,30,L-240K,1,200301,wtorek czwartek
BRC,96-321,Józefina,Gałązki,27,L-1100K,1,200301,1 i 3 piątek
BRC,05-825,Opypy,Piwoniowa,5,L-1100K,1,200301,co tydzień czwartek
BHC,05-831,Rozalin,Rukoli,32,L-120K,1,200301,2 i 4 piątek
BHC,05-830,Kostowiec,Dymman,20,L-1100K,1,200301,co tydzień piątek
BWC,02-290,Warszawa,Dzwonkowa,25,L-120P,1,150101,2 poniedziałek
BRC,96-313,Jaktorów Kolonia,Kleeberga,32,L-1100K,1,200301,1 i 3 piątek
BWC,00-252,Warszawa,Górczewska,8,L-1100K,1,200301,2 i 4 czwartek
BHA,05-090,Raszyn,Gałczyńskiego,32,L-1100K,1,200301,1 i 3 wtorek
BHC,05-830,Stara Wieś,Bajkowa,12,L-240K,1,200301,2 i 4 piątek
BHC,05-090,Janki,Wichrowa,26,L-120K,1,200301,2 i 4 wtorek
BRC,96-300,Żyrardów,Polskiej Organizacji Wojskowej,8,L-120K,1,200301,2 poniedziałek
BWC,05-090,Rybie,19 kwietnia,8,L-1100K,1,200301,1 i 3 wtorek
BWC,05-090,Raszyn,"Puchały, Centralna",23,L-1100K,1,200301,2 i 4 wtorek
BWC,05-500 ,Piaseczno,Kazimierza Jarząbka,16,L-240S,1,150107,4 czwartek
BRC,05-825,Opypy,Gilewicza,34,L-120P,1,150101,4 środa
BRA,96-320 ,Mszczonów,3-go Maja,21,L-1100K,1,200301,co tydzień środa
BHC,05-830,Urzut,Sosenki,19,L-120P,1,150101,2 i 4 czwartek
BWC,05-090,Raszyn,Mieszka I,11,L-120K,1,200301,1 i 3 wtorek
BWC,05-500 ,Piaseczno,Syrenki,6,L-120S,1,150107,1 czwartek
BWC,05-090,Raszyn,Pastelowa,16,L-1100K,1,200301,1 i 3 wtorek
BRC,96-300,Krzyżówka,Wypoczynkowa,24,L-1100K,1,200301,3 środa
BHC,05-807,Żółwin,Wiktorii,32,L-1100K,1,200301,1 i 3 czwartek
BRC,96-313,Jaktorów,Pomorska,23,L-1100K,1,200301,2 i 4 piątek
BRC,96-300,Żyrardów,Legionów Polskich,28,L-120T,1,150106,2 poniedziałek
BWC,05-502,Gołków,Łąkowa,18,L-120T,1,150102,2 środa
BRC,05-825,Odrano-Wola,Liściasta,28,L-1100K,1,200301,1 i 3 czwartek
BRC,05-825,Kozery,Gruntowa,13,L-1100K,1,200301,2 i 4 czwartek
BRB,02-830,Warszawa,Mazura,14,L-1100K,1,200301,co tydzień środa
BHC,96-321,Kaleń,Brzoskwiniowa,34,L-240K,1,200301,1 i 3 piątek
BHC,05-800,Pruszków,Pańska,24,L-1100P,1,150101,2 i 4 wtorek
PW,96-316 ,Międzyborów,Partyzantów,10,L-240K,1,200301,co tydzień piątek
PH,05-830,Wolica,Złotego Kłosa,10,L-1100K,1,200301,2 i 4 piątek
BHA,05-840,Brwinów,Świętego Tomasza,18,"UP-2,5K",1,200301,2 i 4 czwartek
BHC,05-830,Kajetany,Karola Łoniewskiego,16,L-1100K,1,200301,1 i 3 piątek
BWC,05-500 ,Piaseczno,Herberta,14,L-240K,1,200301,2 i 4 poniedziałek
BRC,96-300,Żyrardów,Józefa Mireckiego,6,L-120K,1,200301,4 poniedziałek
BHA,05-082,Stare Babice,Ogrodnicza,31,L-1100K,1,200301,2 i 4 wtorek
BRC,05-825,Grodzisk Mazowiecki,Grunwaldzka,19,L-120K,1,200301,2 i 4 czwartek
BHC,05-840,Brwinów,Obwodnica,9,L-1100K,1,200301,1 i 3 czwartek
BRC,05-825,Grodzisk Mazowiecki,Na Laski,22,L-1100K,1,200301,1 i 3 czwartek
BRC,05-825,Chrzanów Mały,Pączkowa,30,L-120P,1,150101,1 i 3 wtorek
BHC,05-831,Wola Krakowiańska,Jastrzębska,32,L-120K,1,200301,1 i 3 piątek
BRC,02-777,Warszawa,Cynamonowa,8,L-120K,1,200301,4 poniedziałek
BWC,02-445,Warszawa,Potrzebna,33,L-1100K,1,200301,1 i 3 wtorek
